MSD,RMSD,NRMSD,CV_NRMSD,distance,dataset,n,variable,lineage,kind
0.9992095489423185,0.9996046963386669,0.20936779779782647,-1.1935391509274984,1,8-31-16 Continue,27,div_then_fold,1.0,Trace
1.99796398406231,1.4134935387409133,0.29605706184815384,-1.6877270427496647,2,8-31-16 Continue,26,div_then_fold,1.0,Trace
2.539856812559037,1.5936928225222817,0.3337999089438506,-1.9028869964292843,3,8-31-16 Continue,25,div_then_fold,1.0,Trace
2.6218667596030554,1.6192179469123529,0.33914616141909326,-1.933364279502715,4,8-31-16 Continue,24,div_then_fold,1.0,Trace
2.610908030036984,1.615830445943195,0.3384366473276245,-1.9293195655819981,5,8-31-16 Continue,23,div_then_fold,1.0,Trace
2.563554898874094,1.601110520505719,0.3353535501954474,-1.9117438105133078,6,8-31-16 Continue,22,div_then_fold,1.0,Trace
2.6020622109206233,1.6130908873713916,0.33786284515640874,-1.9260485021069238,7,8-31-16 Continue,21,div_then_fold,1.0,Trace
2.5914363500854907,1.609793884348394,0.3371722859135539,-1.922111843742785,8,8-31-16 Continue,20,div_then_fold,1.0,Trace
2.666182402564179,1.6328448801292115,0.34200033068100427,-1.949634989675414,9,8-31-16 Continue,19,div_then_fold,1.0,Trace
2.62363612492043,1.6197642189283075,0.33926057841753066,-1.934016534379554,10,8-31-16 Continue,18,div_then_fold,1.0,Trace
2.5408754323488196,1.5940123689447392,0.3338668381319678,-1.903268538419972,11,8-31-16 Continue,17,div_then_fold,1.0,Trace
2.929030975258079,1.7114411983057085,0.3584623762395171,-2.0434798697625136,12,8-31-16 Continue,16,div_then_fold,1.0,Trace
0.9991446887907147,0.9995722529115715,0.19568106649694136,0.934147794878824,1,8-31-16 Continue,27,div_and_fold,1.0,Trace
2.1697890706829357,1.4730203904504973,0.28836554849886775,1.3766075894391676,2,8-31-16 Continue,26,div_and_fold,1.0,Trace
2.2495594585434744,1.4998531456590922,0.29361845757169863,1.4016840749414614,3,8-31-16 Continue,25,div_and_fold,1.0,Trace
1.2719365819131772,1.1278016589423767,0.2207838710768891,1.0539842714650693,4,8-31-16 Continue,24,div_and_fold,1.0,Trace
1.2962721441658152,1.138539478527563,0.22288595822682813,1.0640192743956638,5,8-31-16 Continue,23,div_and_fold,1.0,Trace
1.5624029702213658,1.2499611874859817,0.24469840727829656,1.1681481589479892,6,8-31-16 Continue,22,div_and_fold,1.0,Trace
1.7637890085256605,1.3280771847018757,0.25999077018768446,1.2411512723611857,7,8-31-16 Continue,21,div_and_fold,1.0,Trace
1.8234964171651284,1.3503689929664144,0.2643547216705756,1.2619840270455263,8,8-31-16 Continue,20,div_and_fold,1.0,Trace
2.1116217715434047,1.4531420341946635,0.2844740659762013,1.3580303204042241,9,8-31-16 Continue,19,div_and_fold,1.0,Trace
2.351753674171368,1.5335428504516488,0.30021371603807967,1.4331687058427451,10,8-31-16 Continue,18,div_and_fold,1.0,Trace
2.5234044757882748,1.5885227337964902,0.3109768421427293,1.4845500208399132,11,8-31-16 Continue,17,div_and_fold,1.0,Trace
2.9876865927077585,1.7284925781465648,0.3383780113329034,1.615358495233131,12,8-31-16 Continue,16,div_and_fold,1.0,Trace
0.9999946626857413,0.9999973313393098,0.19805150884273934,-0.6458777400947483,1,8-31-16 Continue,27,fold_then_div,1.0,Trace
1.9388643582153815,1.3924310963977289,0.27577381554786096,-0.8993426498193944,2,8-31-16 Continue,26,fold_then_div,1.0,Trace
2.566692363359402,1.6020899985204957,0.3172971882673797,-1.0347570290882238,3,8-31-16 Continue,25,fold_then_div,1.0,Trace
2.630283267993934,1.6218148069350995,0.3212037267607516,-1.0474968777691833,4,8-31-16 Continue,24,fold_then_div,1.0,Trace
2.6586529532115057,1.630537627045603,0.3229312990553049,-1.05313076814435,5,8-31-16 Continue,23,fold_then_div,1.0,Trace
2.8429779286572603,1.686113260922071,0.3339381665730257,-1.0890259287488206,6,8-31-16 Continue,22,fold_then_div,1.0,Trace
3.0875022060902992,1.7571289668349046,0.3480029718147875,-1.1348935148000587,7,8-31-16 Continue,21,fold_then_div,1.0,Trace
3.2488954473939073,1.8024692639248825,0.35698271002871007,-1.1641778815697965,8,8-31-16 Continue,20,fold_then_div,1.0,Trace
3.5932900127299288,1.8955975344808635,0.37542695374966517,-1.2243275190143987,9,8-31-16 Continue,19,fold_then_div,1.0,Trace
3.8801748559553073,1.969815944690089,0.3901260611024416,-1.2722636659990694,10,8-31-16 Continue,18,fold_then_div,1.0,Trace
4.185059333429424,2.0457417562902274,0.40516332277930767,-1.321302588478471,11,8-31-16 Continue,17,fold_then_div,1.0,Trace
4.608123790046333,2.146654091847667,0.4251492164328722,-1.3864797936518385,12,8-31-16 Continue,16,fold_then_div,1.0,Trace
0.9848258604693494,0.9923839279580002,0.18644200825774876,1.1646646839369896,1,8-31-16 Continue,27,fold_growth,1.0,Trace
2.285345993862457,1.5117360860489033,0.2840141843274541,1.774177897537255,2,8-31-16 Continue,26,fold_growth,1.0,Trace
2.1647884576069525,1.47132201016873,0.27642147624673696,1.726747819736177,3,8-31-16 Continue,25,fold_growth,1.0,Trace
1.1263930330012435,1.0613166506755858,0.19939259612608143,1.2455643291801264,4,8-31-16 Continue,24,fold_growth,1.0,Trace
1.185223551367481,1.08867972855541,0.20453337586696765,1.2776777175096052,5,8-31-16 Continue,23,fold_growth,1.0,Trace
1.4556123056390853,1.2064875903377892,0.22666627596789277,1.4159373690845691,6,8-31-16 Continue,22,fold_growth,1.0,Trace
