dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,11.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53],"[0.4857097786073277, 0.5999033462332246, 0.6995271365139478, 0.7680555199195125, 0.8307914245372313, 0.8973024589367358, 0.9489647677245013, 0.9853451603644879, 1.0218954792290922, 1.033375697326005, 1.0311306220571503, 1.0274530952801664, 1.0217405271641793]","[0.50402711 0.61354722 0.69385916 0.7590055  0.81459936 0.86352369
 0.90747951 0.94756456 0.98453335 1.01892943 1.05115885 1.08153391
 1.11030056]",$r$,dfa (short)
Shuffled,11.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53],"[0.42567387961297254, 0.6274510985773146, 0.766128020956255, 0.8853670719879279, 0.9910636579603416, 1.0709256679244397, 1.1524827546072978, 1.229343304557786, 1.2831464058835094, 1.3360781916838393, 1.3968962220619094, 1.457352865364837, 1.5243041137179152]","[0.4534753  0.61634634 0.74679346 0.85906307 0.95925924 1.0506736
 1.13532361 1.21455267 1.28930914 1.36029231 1.42803549 1.49295654
 1.55539014]",$r$,dfa (short)
Trace,12.0,[ 5  9 13 17 21 25 29 33],"[0.4937784978401125, 0.6242378493996401, 0.7096646401917092, 0.7698764640102075, 0.7818596761755713, 0.7916071975688546, 0.8014501070018021, 0.7975542397888751]","[0.52775308 0.61282143 0.67288054 0.72037655 0.76013763 0.79459214
 0.82514969 0.85270783]",$r$,dfa (short)
Shuffled,12.0,[ 5  9 13 17 21 25 29 33],"[0.4199818341797961, 0.6832024416851343, 0.8406560989714013, 0.9870844835259993, 1.107531400773015, 1.2233903831613766, 1.3155165087313583, 1.4017401893202284]","[0.44776337 0.64646617 0.81344605 0.9618842  1.09764523 1.22397679
 1.34291117 1.45582503]",$r$,dfa (short)
Trace,14.0,[ 5  9 13 17 21],"[0.46936533545708675, 0.6399551882805818, 0.686417344437363, 0.6952853383693777, 0.7311763765801099]",[0.49678077 0.59107693 0.65896829 0.71336697 0.75936007],$r$,dfa (short)
Shuffled,14.0,[ 5  9 13 17 21],"[0.41937037018988377, 0.6526809636349661, 0.7652841932941363, 0.8342544436609644, 0.8873482664204209]",[0.44519305 0.60411584 0.7312374  0.84055042 0.9380442 ],$r$,dfa (short)
Trace,15.0,[ 5  9 13 17 21 25],"[0.3258680951804601, 0.4834073929812533, 0.6167705334623921, 0.7050405447406086, 0.7905210614048017, 0.9046328792876703]",[0.33097927 0.47722143 0.59998614 0.70904111 0.80872857 0.90145176],$r$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21 25],"[0.36407132601207753, 0.6556680011864098, 0.7520555305440053, 0.8556273059344228, 1.009684746147357, 1.1279350195196816]",[0.39197428 0.5801096  0.74134707 0.88659294 1.02077487 1.14665151],$r$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25 29 33],"[0.4937784978401125, 0.6242378493996401, 0.7096646401917092, 0.7698764640102075, 0.7818596761755713, 0.7916071975688546, 0.8014501070018021, 0.7975542397888751]","[0.52775308 0.61282143 0.67288054 0.72037655 0.76013763 0.79459214
 0.82514969 0.85270783]",$r$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25 29 33],"[0.41116756307112856, 0.7977814921932753, 1.0181085341091338, 1.1464960282327712, 1.1988219988108575, 1.2125642100843155, 1.2317802706080696, 1.2483182309525627]","[0.51027764 0.70615218 0.86529983 1.00359955 1.12793194 1.24203697
 1.34822111 1.44802809]",$r$,dfa (short)
Trace,17.0,"[  5   9  13  17  21  25  29  33  37  41  45  49  53  57  61  65  69  73
  77  81  85  89  93  97 101 105 109 113 117]","[0.3900880008202789, 0.5786664535407073, 0.6777974265161226, 0.7542319669118809, 0.8064342490941396, 0.839670577771092, 0.8752009835090195, 0.9148349566428315, 0.9475739594945706, 0.9810055298110077, 1.018442526993102, 1.047032757092812, 1.0744282732003176, 1.1088802915716383, 1.137516512415655, 1.1638788646766343, 1.194004591158894, 1.2216348446664962, 1.2465063837663477, 1.2718871610272549, 1.292627861497202, 1.3105977820709558, 1.3296173072481845, 1.3455188748609317, 1.3592928968931954, 1.3702507557554617, 1.3787783265018516, 1.3871270062827832, 1.3957372568037196]","[0.45184922 0.5613391  0.64295052 0.70987949 0.76746912 0.81848852
 0.86458308 0.9068208  0.94593939 0.98247259 1.01682063 1.04929241
 1.08013193 1.10953578 1.13766495 1.16465316 1.19061287 1.21563967
 1.23981559 1.2632116  1.2858896  1.30790394 1.32930259 1.35012819
 1.37041881 1.39020859 1.40952829 1.42840573 1.44686618]",$r$,dfa (short)
Shuffled,17.0,"[  5   9  13  17  21  25  29  33  37  41  45  49  53  57  61  65  69  73
  77  81  85  89  93  97 101 105 109 113 117]","[0.3825338636622958, 0.5742355627693352, 0.7413348869939483, 0.8735740867313553, 0.989532161771735, 1.0915194240185264, 1.1733213293471916, 1.2387227192733032, 1.3003965125045613, 1.355620346457266, 1.4082904291094973, 1.4692039436635316, 1.5298398850855466, 1.585288008960885, 1.6409401886866122, 1.6913785308137448, 1.736121146294451, 1.7761229942092291, 1.8099559803518588, 1.8384910060060684, 1.8643306651281377, 1.8879832719303509, 1.9092987338797744, 1.9296126786991075, 1.9480354174413663, 1.9624112973083854, 1.9734087403130318, 1.9840281763165204, 1.9935579919242443]","[0.45685865 0.61206726 0.73495771 0.8399098  0.93302939 1.01758826
 1.09558176 1.16833315 1.23677335 1.30158665 1.36329358 1.42230095
 1.4789339  1.53345713 1.58608958 1.63701475 1.68638827 1.7343435
 1.78099572 1.8264454  1.87078074 1.91407965 1.9564114  1.99783783
 2.0384145  2.0781915  2.11721418 2.15552377 2.19315787]",$r$,dfa (short)
Trace,18.0,[ 5  9 13 17 21 25 29 33 37 41 45],"[0.3542115049690039, 0.5574108053606129, 0.6531405726511388, 0.7088959495889464, 0.7841352022477224, 0.82749891322941, 0.8564722315438917, 0.8984610297829934, 0.925230503595331, 0.942703820931396, 0.9822304267849027]","[0.4038204  0.51910197 0.60741343 0.68117868 0.7455378  0.80319522
 0.85577698 0.90434881 0.94965297 0.99223037 1.03248925]",$r$,dfa (short)
Shuffled,18.0,[ 5  9 13 17 21 25 29 33 37 41 45],"[0.29759002448363864, 0.51248903581395, 0.7337317266165946, 0.8330211380328145, 0.9136317377025055, 1.0224755064371602, 1.0946399197111034, 1.1630007645400608, 1.2458428550562601, 1.3011286774837951, 1.3432498182921577]","[0.34263716 0.50426209 0.64216588 0.76602085 0.88018201 0.98708142
 1.08825107 1.18473434 1.27728213 1.3664575  1.45269631]",$r$,dfa (short)
Trace,19.0,[ 5  9 13 17 21 25 29 33 37],"[0.5118199572901235, 0.5768873972283889, 0.6217853010129842, 0.6977912133183282, 0.7762136545802062, 0.8630413489844989, 0.9503601752298593, 1.0302992113719451, 1.1026391707308882]","[0.46435322 0.58568424 0.67722718 0.7529152  0.81844415 0.87678582
 0.92971532 0.97838982 1.02361156]",$r$,dfa (short)
Shuffled,19.0,[ 5  9 13 17 21 25 29 33 37],"[0.5093085858342612, 0.7280814872827454, 0.8898004798901833, 1.050264505047586, 1.166655986250195, 1.2454013750713466, 1.2935545095797596, 1.3258371533549513, 1.3427579925832247]","[0.54090709 0.72382809 0.86852633 0.9920259  1.10155022 1.2009679
 1.29263737 1.37812211 1.45852175]",$r$,dfa (short)
Trace,20.0,[ 5  9 13],"[0.5270350014719697, 0.6671341385340562, 0.7297128379583601]",[0.53178145 0.65177178 0.74024567],$r$,dfa (short)
Shuffled,20.0,[ 5  9 13],"[0.49414179705946853, 0.6239510839351952, 0.7047248476208321]",[0.49599886 0.61789895 0.70896303],$r$,dfa (short)
Trace,21.0,[ 5  9 13 17 21 25 29],"[0.3656144373097314, 0.5853382546231757, 0.6695761675172203, 0.7286621192640241, 0.801063294358418, 0.8579505639582725, 0.9021638229889585]","[0.39880981 0.53144818 0.63602082 0.72507308 0.80391406 0.87538188
 0.94120427]",$r$,dfa (short)
Shuffled,21.0,[ 5  9 13 17 21 25 29],"[0.33047430111281245, 0.5962953056975615, 0.736286973451935, 0.835128981181106, 0.9734475796030576, 1.0725895252012256, 1.1217774005408638]","[0.36279764 0.54096754 0.69457418 0.83350185 0.96223728 1.08330055
 1.1982862 ]",$r$,dfa (short)
Trace,22.0,[ 5  9 13 17 21 25],"[0.44842705238846603, 0.6522886688041483, 0.7645892434554898, 0.7913974317758629, 0.8064742697366281, 0.8235508406030494]",[0.4887774  0.6077638  0.69651793 0.76933992 0.83202325 0.88757162],$r$,dfa (short)
